AnoAtendimento;TrimestreAtendimento;MesAtendimento;DataAtendimento;CodigoRegiao;Regiao;UF;CodigoTipoAtendimento;CodigoAssunto;GrupoAssunto;CodigoProblema;GrupoProblema;SexoConsumidor;FaixaEtariaConsumidor;TipoFornecedor;RazaoSocialSindec;NomeFantasiaSindec
2015;1;1;2015-01-06 10:58:46.000;3;Sudeste;SP;2;55;Cartão de Loja;216;Problemas com Cobrança;F;entre 41 a 50 anos;1;ADMINISTRAÇÃO DE CARTÃO DE CRÉDITO PALMA LTDA;
2015;1;3;2015-03-24 12:59:19.000;2;Nordeste;PE;3;186;Telefonia Fixa;134;Problemas com Cobrança;F;entre 21 a 30 anos;1;TELEMAR NORTE LESTE S/A - OI FIXO;OI FIXO
2015;1;2;2015-02-24 14:58:10.000;3;Sudeste;SP;3;101;Aparelho Celular;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 21 a 30 anos;1;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETR LTDA;MOTOROLA
2015;1;3;2015-03-12 12:29:37.000;2;Nordeste;RN;9;259;TV por Assinatura;197;Problemas na Oferta;F;entre 21 a 30 anos;1;PLN - NATAL;NET
2015;1;1;2015-01-15 13:03:23.000;3;Sudeste;SP;6;54;Cartão de Crédito;28;Problemas com Cobrança;F;entre 31 a 40 anos;1;BANCO SANTANDER (BRASIL) S/A;SANTANDER
2015;1;3;2015-03-24 08:17:01.000;2;Nordeste;PE;9;102;Microcomputador / Produtos de Informática;105;Vício ou Má Qualidade de Produto ou Serviço;M;entre 51 a 60 anos;1;NAVCITY;NAVCITY
2015;1;1;2015-01-26 16:24:15.000;4;Sul;RS;3;279;Internet (Serviços);184;Problemas com Contrato;M;mais de 70 anos;1;NET SERVICOS DE COMUNICACAO S/A;
2015;1;2;2015-02-04 16:34:14.000;5;Centro-oeste;GO;6;259;TV por Assinatura;255;Problemas com SAC;M;entre 21 a 30 anos;1;SKY BRASIL SERVIÇOS LTDA;SKY
2015;1;3;2015-03-20 16:41:32.000;3;Sudeste;SP;3;54;Cartão de Crédito;28;Problemas com Cobrança;M;entre 61 a 70 anos;1;ITAÚ UNIBANCO S/A;BANCO ITAÚ/BANCO UNIBANCO
2015;1;1;2015-01-09 12:57:23.000;3;Sudeste;SP;2;134;Produto de Uso Pessoal ( Barbeador, Depilador, Secador, Outros );113;Problemas com Garantia de Produtos;F;entre 21 a 30 anos;1;VIA VAREJO S/A;PONTO FRIO / CASAS BAHIA
